;ECO_ID;ECO_NAME;Threshold;Ecoregion baseline;er_base_N_so2;N_th_so2;NHx_perc;NOy_perc;leaf_nh3;leaf_nox;leaf_so2
0;135;Admiralty Islands lowland rain forests;20.0;1.2;0.09942554095509433;1.6570922834046404;0.5903170778744605;0.409682905509018;0.08338384923183116;0.017148741363757908;0.12357987329728806
1;785;Aegean and Western Turkey sclerophyllous and mixed forests;7.5;10.0;15.527328682961148;11.645496512220861;0.5855719565714378;0.414428040601482;1.3395521302710307;0.4408060277412249;0.7026960877367495
2;807;Afghan Mountains semi-desert;1.6;1.8;8.62165658499406;7.663694945235527;0.59970751796834;0.400292476599454;4.597294209616016;1.0963607673865337;3.0738817016379043
3;404;Ahklun and Kilbuck Upland Tundra;10.0;0.4;0.5650051658164968;14.125128934931599;0.578670627361964;0.42132937394220427;1.3156948013504632;0.35251588122832833;2.490474077299096
4;722;Al-Hajar foothill xeric woodlands and shrublands;15.0;4.7;7.746795618852698;24.723816808188143;0.3860307127738823;0.6139692893079713;1.7654397250745393;0.4068262226343209;0.7198965969665414
5;721;Alai-Western Tian Shan steppe;3.8;4.6;18.129034301718335;14.976159081471197;0.6176290763109871;0.3823709227599231;3.3169464661575474;1.1568779801641478;2.5417979926307566
6;808;Alashan Plateau semi-desert;5.0;3.7;9.685018928185146;13.0878632477967;0.4739825080118582;0.526017491066658;2.165547229675907;0.7933560566557825;2.0003188837097916
7;405;Alaska-St. Elias Range tundra;10.0;0.3;1.3309955143974879;44.366515383616;0.6334702689416336;0.3665297327233859;4.9264939761931625;0.5373390905095379;3.4353654433842475
8;369;Alaska Peninsula montane taiga;7.5;0.5;0.6632918477370122;9.949377716055183;0.5528308436198435;0.4471691562547494;1.2236546868194702;0.3438107957621131;1.9689941990130504
9;88;Albany thickets;0.9;1.0;0.4940824041217772;0.44467416370959945;0.6249755105699881;0.37502448669689437;0.31189849501890565;0.20887691138253983;0.3044931240483703
10;345;Alberta-British Columbia foothills forests;7.5;1.3;6.03201605509841;34.800093902027584;0.6190238982904331;0.38097610080121913;5.173957637295618;0.5998617199458072;3.2998666479489067
11;1;Albertine Rift montane forests;20.0;13.8;12.20438175156995;17.687509540418425;0.6138102372060998;0.3861897600542377;0.8985652237605449;0.16915155988191719;1.0857672327164967
12;406;Aleutian Islands tundra;10.0;0.7;0.2540896748942372;3.6298525603051237;0.521060079964443;0.4789399205894086;0.0942964362137659;0.19274967920206004;0.6224734158258919
13;328;Allegheny Highlands forests;12.5;16.8;129.84888619415625;96.6137589962739;0.5426839576548412;0.4573160447093274;9.971365320062924;0.7708164772758002;2.284910317998252
14;689;Alps conifer and mixed forests;12.5;17.3;110.00069532091605;79.48027469075653;0.5859277802450494;0.4140722240360797;7.039987913161005;0.9919604973847825;2.727854937517418
15;749;Altai alpine meadow and tundra;3.4;2.8;20.1774554980664;24.50119637919066;0.6138645423320256;0.38613546018815237;7.638846450493974;1.191888020300126;3.8732462303840136
16;690;Altai montane forest and forest steppe;7.5;2.6;16.223983160290373;46.79995314052658;0.5472630345597449;0.45273696419352943;6.774161914393376;1.1685780310478562;3.5838430436314557
17;724;Altai steppe and semi-desert;15.0;4.4;30.174906120700907;102.86899590912766;0.6202065207763683;0.37979347775593003;7.051878427560146;1.2397759732635363;3.2619679279459555
18;439;Alto Paraná Atlantic forests;20.0;14.3;13.685172457243816;19.14010108350991;0.6034285884752594;0.3965714134497861;1.0003438522663155;0.17192239986784863;0.9442018178055
19;611;Amazon-Orinoco-Southern Caribbean mangroves;20.0;6.5;4.452695658988678;13.700602027657471;0.6016676208561426;0.3983323822574477;0.714901375362983;0.12433140046669297;0.3809117817348189
20;741;Amur meadow steppe;15.0;10.0;58.027876126636365;87.04181418995455;0.5802081217330112;0.4197918772628187;6.054974324718103;1.1141937739384598;3.2418886391521404
21;786;Anatolian conifer and deciduous mixed forests;7.5;12.7;19.028152781242916;11.237098267923486;0.5929554170897051;0.40704458087170503;1.2536932278330297;0.44533021447284543;0.7961318822206254
22;218;Andaman Islands rain forests;7.0;7.2;4.306734143649586;4.187102750579663;0.5945560712581051;0.40544392692750153;0.44330101517610276;0.20876533066681804;0.4068939212725456
23;77;Angolan montane forest-grassland;10.0;6.2;6.753462565608443;10.892681892532035;0.6312293401915514;0.36877066454072044;1.0593204504973202;0.2288622883924529;0.9817714152028982
24;34;Angolan mopane woodlands;15.0;3.6;2.876110509976654;11.983794109031521;0.6574608952391908;0.3425391030164052;0.7021316022626339;0.2117984329498455;0.5808310346969573
25;35;Angolan scarp savanna and woodlands;15.0;7.4;5.726076080813183;11.60691082503736;0.6660979211551064;0.3339020760907225;0.7239669310929073;0.17156540184817126;0.854672496416133
26;36;Angolan wet miombo woodlands;6.9;7.2;7.841924338684869;7.515177690323887;0.654984718774817;0.3450152824613848;1.008744496728619;0.25304983031758255;0.9995507686782754
27;331;Appalachian-Blue Ridge forests;12.5;17.4;114.26958526275556;82.09022109766545;0.5518009265984809;0.44819907703760414;8.350618308487874;0.6599894265506133;1.7626705441744817
28;329;Appalachian mixed mesophytic forests;12.5;18.2;115.83645042686547;79.55799833175178;0.5470777849676672;0.45292221396352694;8.096928908123491;0.6624090358908139;1.6960533191242875
29;330;Appalachian Piedmont forests;12.5;15.5;79.64424762467186;64.22923195538054;0.562593009130036;0.43740699256167137;6.390620008859609;0.5375717420635981;1.4014555853428226
30;644;Appenine deciduous montane forests;12.5;13.4;41.10567167276076;38.34484406991841;0.5943576534355066;0.4056423492047949;3.0133297590723105;0.6698608153382108;1.611473097353483
31;520;Apure-Villavicencio dry forests;20.0;14.0;9.557275991137649;13.653251415910928;0.5877359156228444;0.41226408369728146;0.6963044042821248;0.1371083583318941;0.3955734773791389
32;810;Arabian sand desert;5.0;4.2;7.85501007477405;9.351202894635872;0.3434044973272189;0.6565955008380664;1.9226555860997732;0.49528019284328456;1.2674539086917656
